timestamp_ms,accel_x,accel_y,accel_z
0,-175,-94,-3968
19,-155,-48,-3982
39,-153,-24,-4034
59,-146,-37,-4025
79,-164,-70,-3946
99,-161,-62,-3982
119,-155,-39,-4024
139,-151,-62,-3976
160,-144,-64,-3939
179,-147,-53,-3974
199,-184,-75,-3965
219,-124,-66,-3936
239,-187,-105,-3979
260,-103,-50,-3946
279,-176,-99,-3966
299,-138,-65,-3942
320,-116,-37,-4005
339,-142,-39,-3989
360,-128,-85,-4018
380,-154,-65,-3973
399,-158,-53,-4011
419,-162,-50,-4007
439,-148,-38,-3998
460,-157,-64,-3999
479,-169,-77,-3997
499,-136,-69,-3943
520,-154,-66,-3960
540,-145,-67,-3995
560,-152,-71,-3959
579,-136,-64,-3945
599,-160,-68,-3949
620,-137,-54,-3970
639,-155,-75,-3958
661,-158,-61,-3938
679,-159,-69,-3972
699,-142,-54,-3978
720,-155,-51,-3960
739,-157,-57,-3976
759,-167,-70,-3991
780,-147,-62,-3963
799,-155,-90,-3947
820,-169,-43,-3942
840,-149,-27,-3953
860,-146,-52,-3983
879,-164,-71,-3967
899,-159,-66,-3950
920,-153,-60,-3958
939,-139,-50,-3991
960,-152,-54,-4009
979,-143,-68,-3978
999,-136,-68,-3962
1020,-183,-39,-4002
1040,-176,-66,-4001
1075,-151,-39,-4005
1079,-169,-68,-3932
1099,-139,-33,-4008
1120,-138,-49,-4002
1139,-158,-76,-3945
1159,-167,-72,-3941
1179,-150,-44,-4020
1199,-144,-55,-4020
1220,-144,-67,-3950
1239,-146,-64,-3980
1259,-147,-54,-4020
1279,-153,-74,-3985
1299,-148,-79,-3952
1319,-158,-66,-3992
1339,-155,-48,-4015
1359,-119,-72,-3927
1379,-198,-52,-3901
1399,-108,-81,-4023
1420,-116,-58,-4011
1439,-135,-88,-3948
1459,-170,-65,-3971
1479,-125,-37,-4028
1499,-160,-43,-4013
1520,-149,-58,-3964
1539,-146,-77,-3947
1561,-163,-65,-4002
1579,-122,-82,-3947
1599,-162,-65,-3963
1619,-142,-29,-3978
1639,-125,-57,-3994
1659,-148,-84,-3928
1679,-170,-87,-3939
1699,-158,-56,-4013
1720,-149,-53,-4018
1740,-150,-72,-3967
1759,-147,-59,-3956
1779,-154,-73,-3992
1799,-149,-60,-3989
1820,-157,-71,-3962
1839,-144,-66,-3985
1860,-134,-52,-3987
1879,-138,-50,-3974
1899,-157,-64,-3923
1920,-155,-72,-3954
1939,-139,-63,-4006
1959,-144,-51,-3960
1979,-150,-70,-3962
1999,-143,-71,-3979
2020,-141,-50,-4000
2039,-151,-66,-3967
2059,-148,-77,-3942
2080,-151,-63,-3985
2099,-148,-50,-3987
2120,-142,-69,-3971
2139,-139,-61,-3968
2160,-139,-74,-3978
2180,-157,-62,-3994
2199,-154,-71,-3960
2220,-152,-60,-3994
2239,-145,-64,-4003
2259,-153,-76,-3983
2280,-135,-55,-3959
2299,-144,-58,-3980
2320,-134,-50,-4012
2339,-150,-66,-3969
2359,-156,-72,-3952
2380,-138,-64,-3976
2399,-132,-54,-3991
2420,-152,-97,-3970
2439,-143,-48,-3937
2459,-159,-70,-4006
2479,-125,-54,-3981
2499,-145,-84,-3969
2519,-123,-54,-3954
2539,-161,-64,-3981
2559,-152,-47,-3947
2580,-165,-84,-3970
2599,-128,-36,-3980
2620,-196,-70,-4003
2639,-137,-47,-3971
2659,-163,-75,-3985
2680,-142,-57,-3970
2699,-164,-87,-3979
2720,-143,-60,-3978
2739,-152,-46,-3988
2760,-146,-67,-4003
2779,-152,-68,-3986
2800,-141,-76,-3954
2820,-152,-82,-3943
2842,-160,-74,-3966
2859,-163,-74,-3991
2879,-155,-69,-3960
2899,-147,-51,-3976
2919,-134,-37,-4011
2940,-156,-63,-3984
2959,-142,-75,-3939
2980,-153,-70,-3997
2999,-154,-68,-4016
3020,-141,-75,-3956
3039,-159,-80,-3945
3060,-147,-36,-3992
3080,-161,-58,-4002
3099,-158,-82,-3968
3120,-147,-71,-3930
3139,-154,-68,-3990
3159,-148,-65,-4002
3179,-145,-64,-3961
3199,-152,-71,-3971
3220,-137,-71,-3984
3240,-161,-91,-3994
3259,-153,-72,-3971
3280,-157,-81,-3985
3299,-155,-54,-3990
3320,-153,-63,-3967
3339,-149,-70,-3941
3361,-161,-68,-3981
3380,-153,-45,-3979
3399,-148,-60,-3976
3420,-158,-72,-3970
3439,-143,-52,-3979
3459,-143,-66,-3982
3480,-149,-60,-3958
3499,-145,-72,-3963
3519,-151,-72,-3982
3539,-163,-64,-3974
3559,-149,-87,-3963
3580,-143,-52,-3966
3599,-139,-20,-3989
3620,-160,-80,-3994
3639,-136,-86,-3958
3659,-159,-70,-3940
3680,-146,-54,-3970
3699,-141,-45,-4011
3719,-143,-84,-3978
3739,-165,-111,-3868
3759,-169,-79,-3963
3780,-141,-37,-4028
3799,-152,-53,-4032
3819,-143,-70,-3948
3839,-139,-95,-3925
3859,-163,-52,-3995
3880,-151,-45,-3993
3899,-166,-71,-3933
3919,-154,-74,-3932
3939,-150,-36,-4048
3960,-138,-31,-4008
3980,-163,-69,-3973
3999,-147,-71,-3961
4019,-132,-43,-3992
4039,-146,-55,-3996
4059,-143,-74,-3951
4080,-160,-66,-3969
4099,-147,-53,-3973
4120,-177,-65,-3939
4140,-155,-53,-3981
4159,-149,-67,-4005
4180,-169,-34,-3996
4199,-134,-59,-3997
4220,-161,-81,-3964
4239,-148,-71,-3959
4261,-143,-53,-3971
4279,-157,-60,-3965
4299,-143,-53,-3978
4320,-145,-74,-4000
4339,-139,-75,-3952
4359,-159,-73,-3948
4380,-147,-58,-3964
4399,-146,-49,-3987
4419,-152,-74,-3961
4440,-168,-71,-3963
4459,-158,-64,-3975
4480,-138,-65,-3985
4538,-150,-74,-3979
4538,-156,-83,-3954
4539,-159,-89,-3950
4560,-149,-82,-3958
4580,-150,-61,-3973
4599,-154,-58,-4007
4620,-137,-40,-3997
4640,-176,-60,-3978
4659,-82,-112,-3976
4680,-141,-45,-3949
4699,-88,-82,-3974
4719,-202,-67,-3962
4739,-183,-55,-3977
4759,-158,-80,-3993
4780,-131,-76,-3934
4799,-147,-67,-4001
4819,-147,-62,-4012
4840,-162,-83,-3940
4859,-159,-61,-3936
4880,-145,-56,-4015
4899,-123,-35,-3997
4919,-166,-91,-3962
4940,-172,-93,-3960
4959,-152,-68,-3986
4980,-162,-72,-4010
4999,-140,-57,-4008
5019,-149,-45,-3979
