timestamp_ms,accel_x,accel_y,accel_z
3,2621,-20,-3096
23,2696,36,-3155
43,2936,-329,-3063
63,2646,122,-3106
83,2728,13,-3100
103,2714,-42,-2983
123,2777,16,-2976
143,2772,28,-3012
163,2764,104,-2979
183,2717,46,-3061
203,2674,91,-3027
223,2771,-21,-2833
243,2956,-12,-2770
263,3142,44,-2803
283,2980,-2,-2813
303,2960,-66,-2693
323,2984,80,-2666
343,3111,47,-2672
363,3164,-39,-2611
383,3164,-1,-2670
403,3296,63,-2879
423,2916,-179,-2403
443,3524,-46,-1767
463,3490,-246,-2015
483,3485,44,-2327
503,3500,6,-2142
523,3548,-70,-2043
543,3509,-33,-2051
563,3522,-43,-2115
583,3573,51,-2165
603,3557,-55,-2149
623,3614,-11,-2013
643,3609,14,-1906
663,3644,-37,-1873
683,3674,-69,-1795
703,3705,-48,-1776
723,3720,-52,-1791
743,3726,-46,-1762
763,3695,-38,-1771
783,3700,-60,-1769
803,3717,-44,-1777
823,3736,-34,-1774
843,3745,-55,-1771
863,3749,-40,-1747
883,3714,-62,-1726
903,3729,-79,-1707
923,3761,-72,-1709
943,3787,-59,-1698
963,3786,-39,-1686
983,3755,-67,-1671
1003,3755,-60,-1667
1023,3759,-54,-1667
1043,3796,-31,-1687
1063,3811,-104,-1690
1083,3804,-53,-1638
1103,3773,-68,-1606
1123,3790,-65,-1595
1143,3800,-63,-1582
1163,3828,-59,-1607
1183,3813,-58,-1599
1203,3809,-81,-1597
1223,3792,-81,-1605
1243,3792,-91,-1587
1263,3811,-65,-1575
1283,3836,-63,-1578
1303,3837,-59,-1566
1323,3825,-71,-1534
1343,3792,-68,-1528
1363,3803,-77,-1555
1383,3845,-67,-1558
1403,3854,-78,-1567
1423,3839,-74,-1558
1443,3817,-74,-1530
1463,3810,-78,-1527
1483,3828,-76,-1530
1503,3852,-74,-1533
1523,3869,-63,-1540
1543,3855,-80,-1516
1563,3811,-88,-1509
1583,3810,-90,-1500
1603,3837,-73,-1510
1623,3864,-65,-1525
1643,3873,-71,-1514
1663,3868,-75,-1514
1683,3836,-99,-1495
1703,3813,-97,-1487
1723,3857,-88,-1495
1743,3861,-80,-1494
1763,3879,-79,-1488
1783,3869,-72,-1494
1803,3827,-88,-1474
1823,3841,-85,-1471
1843,3856,-81,-1496
1863,3884,-81,-1491
1883,3884,-81,-1475
1903,3853,-90,-1466
1923,3850,-82,-1457
1943,3855,-73,-1446
1963,3873,-71,-1477
1983,3886,-63,-1471
2003,3865,-85,-1447
2023,3852,-89,-1447
2043,3871,-88,-1426
2063,3859,-97,-1433
2083,3891,-83,-1440
2103,3891,-70,-1441
2123,3881,-91,-1425
2143,3845,-88,-1424
2163,3855,-99,-1441
2183,3883,-92,-1428
2203,3895,-73,-1437
2223,3906,-79,-1436
2243,3883,-91,-1424
2263,3870,-99,-1402
2283,3872,-96,-1406
2303,3888,-80,-1404
2323,3907,-80,-1418
2343,3898,-84,-1422
2363,3863,-95,-1384
2384,3855,-89,-1403
2404,3863,-82,-1411
2424,3897,-80,-1402
2444,3919,-78,-1414
2464,3902,-90,-1400
2617,3895,-80,-1396
2617,3895,-80,-1396
2618,3890,-85,-1386
2618,3890,-85,-1386
2618,3890,-85,-1386
2619,3880,-88,-1388
2619,3880,-88,-1388
2623,3870,-87,-1364
2643,3896,-104,-1363
2663,3913,-94,-1393
2683,3913,-85,-1376
2703,3912,-90,-1374
3232,3869,-100,-1359
3232,3927,-87,-1341
3233,3929,-99,-1342
3233,3929,-99,-1342
3233,3929,-99,-1342
3233,3908,-97,-1336
3234,3908,-97,-1336
3234,3908,-97,-1336
3234,3896,-97,-1323
3235,3896,-97,-1323
3237,3898,-94,-1320
3237,3898,-94,-1336
3238,3904,-95,-1336
3238,3904,-95,-1336
3238,3904,-95,-1330
3239,3913,-102,-1330
3239,3913,-102,-1330
3239,3913,-102,-1330
3240,3907,-103,-1328
3240,3907,-103,-1328
3240,3907,-103,-1328
3241,3923,-93,-1344
3241,3923,-93,-1344
3241,3923,-93,-1344
3241,3923,-90,-1339
3242,3925,-90,-1339
3244,3949,-96,-1344
3263,3934,-91,-1332
3283,3910,-99,-1342
3303,3893,-102,-1322
3323,3892,-106,-1317
3343,3914,-92,-1330
3363,3942,-79,-1342
3383,3929,-93,-1319
3403,3917,-99,-1329
3423,3887,-110,-1318
3443,3899,-103,-1317
3463,3932,-113,-1323
3483,3958,-87,-1330
3503,3940,-94,-1340
3523,3896,-109,-1315
3543,3913,-113,-1322
3563,3910,-110,-1319
3583,3932,-98,-1324
3603,3945,-110,-1317
3623,3941,-108,-1330
3643,3893,-107,-1298
3663,3905,-116,-1305
3683,3922,-100,-1326
3703,3936,-90,-1314
3723,3944,-87,-1313
3743,3923,-103,-1318
3763,3903,-108,-1298
3783,3898,-111,-1286
3803,3926,-100,-1291
3823,3951,-102,-1308
3843,3930,-99,-1299
3863,3917,-106,-1287
3883,3898,-98,-1292
3903,3904,-112,-1295
3923,3935,-90,-1298
3943,3943,-101,-1304
3963,3937,-104,-1290
3983,3919,-120,-1274
4003,3902,-104,-1287
4023,3927,-94,-1270
4043,3946,-106,-1282
4063,3955,-100,-1295
4083,3938,-106,-1290
4103,3912,-117,-1280
4123,3911,-110,-1281
4143,3935,-95,-1277
4163,3953,-98,-1301
4183,3949,-90,-1285
4203,3931,-107,-1276
4223,3905,-113,-1274
4243,3913,-119,-1275
4263,3932,-104,-1274
4283,3964,-94,-1276
4303,3953,-100,-1281
4323,3929,-110,-1269
4343,3911,-116,-1274
4363,3908,-116,-1260
4383,3932,-90,-1269
4403,3967,-86,-1279
4423,3940,-115,-1284
4443,3930,-104,-1261
4463,3906,-115,-1249
4483,3917,-105,-1281
4503,3943,-103,-1269
4523,3961,-100,-1270
4543,3954,-98,-1276
4563,3927,-102,-1248
4583,3933,-145,-1280
4603,3923,-119,-1274
4623,3968,-84,-1243
4643,3966,-96,-1231
4663,3971,-92,-1219
4683,3917,-121,-1221
4703,3923,-93,-1225
4723,3944,-111,-1258
4743,3960,-97,-1260
4763,3977,-92,-1247
4783,3958,-108,-1223
4803,3948,-95,-1201
4823,3933,-106,-1220
4843,3957,-94,-1224
4863,3977,-87,-1243
4883,3964,-90,-1237
4903,3938,-112,-1228
4923,3917,-110,-1218
4943,3947,-92,-1215
4963,3966,-99,-1226
4983,3976,-96,-1231
5003,3968,-102,-1219
5023,3949,-110,-1219
5043,3921,-107,-1214
5063,3964,-94,-1224
5083,3966,-93,-1233
5103,3971,-98,-1217
5123,3960,-105,-1214
5143,3937,-111,-1197
5163,3928,-114,-1196
5183,3947,-107,-1214
5203,3992,-88,-1215
5223,3982,-96,-1207
5243,3955,-100,-1204
5263,3939,-114,-1204
5283,3930,-100,-1203
5303,3968,-96,-1208
5323,3988,-92,-1215
5343,3969,-103,-1212
5363,3951,-111,-1202
5383,3933,-123,-1190
5403,3941,-111,-1194
5423,3976,-99,-1198
5443,3980,-82,-1216
5463,3987,-96,-1212
5483,3956,-109,-1200
5503,3916,-128,-1205
5523,3957,-97,-1168
5543,3978,-109,-1167
5563,3993,-91,-1170
5583,3992,-89,-1182
5603,3943,-92,-1174
5623,3943,-102,-1192
5643,3963,-101,-1182
5663,3991,-96,-1189
5683,3999,-92,-1181
5703,3968,-94,-1169
5723,3963,-102,-1150
5743,3942,-99,-1160
5763,3961,-96,-1161
5783,3987,-91,-1173
5803,3981,-99,-1170
5823,3983,-100,-1160
5843,3965,-91,-1148
5863,3951,-99,-1152
5883,4001,-88,-1149
5903,4001,-80,-1162
5923,3992,-89,-1170
5943,3973,-108,-1152
5963,3954,-103,-1153
5983,3971,-95,-1140
6003,3988,-85,-1150
6023,4006,-98,-1157
6043,3999,-101,-1145
6063,3968,-118,-1144
6083,3952,-113,-1155
6103,3974,-101,-1142
6123,4001,-93,-1158
6143,3992,-105,-1152
6163,3983,-97,-1157
6183,3957,-115,-1128
6203,3945,-103,-1133
6223,3960,-103,-1152
6243,4012,-80,-1152
6263,3997,-89,-1157
6283,3980,-110,-1148
6303,3947,-117,-1129
6323,3943,-118,-1154
6343,3982,-97,-1151
6363,3997,-89,-1140
6383,4008,-87,-1129
6403,3967,-102,-1132
6423,3955,-107,-1139
6443,3957,-112,-1130
6463,3990,-105,-1139
6483,4002,-80,-1139
6503,4009,-90,-1142
6523,3969,-106,-1130
6543,3947,-108,-1132
6563,3970,-103,-1120
6583,4006,-102,-1157
6603,4009,-97,-1130
6623,3990,-105,-1141
6643,3970,-114,-1110
6663,3954,-116,-1116
6683,3970,-89,-1133
6703,3990,-99,-1137
6723,4006,-100,-1150
6743,3983,-103,-1119
6763,3973,-113,-1120
6783,3954,-110,-1115
6803,3982,-100,-1121
6823,4002,-89,-1139
6843,3993,-89,-1132
6863,3988,-121,-1124
6883,3960,-117,-1118
6903,3981,-99,-1111
6923,3984,-84,-1129
6944,3993,-102,-1126
6963,3975,-48,-1096
6983,3985,-143,-1155
7003,3960,-110,-1119
7023,3988,-89,-1100
7043,4005,-97,-1084
7063,4017,-80,-1098
7083,3990,-109,-1090
7103,3968,-97,-1094
7123,3968,-96,-1087
7143,3976,-98,-1091
7163,4023,-80,-1094
7183,4031,-91,-1103
7203,4007,-102,-1088
7223,3969,-96,-1090
7243,3977,-102,-1091
7263,3983,-100,-1097
7283,4024,-88,-1096
7303,4016,-82,-1108
7323,3999,-101,-1099
7343,3978,-104,-1078
7363,3973,-92,-1084
7383,3997,-96,-1085
7403,4018,-95,-1085
7423,4028,-83,-1090
7443,3989,-108,-1083
7463,3970,-108,-1077
7483,3980,-106,-1071
7503,4002,-89,-1087
7523,4019,-88,-1092
7543,4014,-106,-1080
7563,4006,-97,-1078
7583,3963,-105,-1071
7603,3989,-109,-1069
7623,4022,-94,-1080
7643,4021,-101,-1087
7663,3990,-100,-1087
7683,3991,-96,-1072
7703,3982,-103,-1061
7723,3990,-103,-1080
7743,4018,-89,-1082
7763,4024,-91,-1092
7783,4008,-100,-1078
7803,3977,-111,-1069
7823,4004,-107,-1077
7843,4001,-91,-1075
7863,4025,-88,-1086
7883,4022,-100,-1090
7903,3994,-107,-1084
7923,3981,-106,-1066
7943,4002,-98,-1066
7963,4017,-102,-1062
7983,4020,-94,-1073
8003,4000,-103,-1072
8023,3997,-113,-1067
8043,3969,-116,-1063
8063,3986,-102,-1057
